esr_id;name;latitude;longitude
030006;Санкт-Петербург-Сортировочный-Московский;59.87548828;30.41586113
030107;Невдубстрой;59.85531616;31.01329231
030114;11 км;59.8405838;32.34297562
030129;Грибное;59.82214355;31.03655624
030133;6 км;59.7925148;31.02856636
030148;4 км;59.77933884;31.02983093
030203;Мга;59.7554245;31.0616188
030218;45 км;59.7632637;30.98785973
030222;Горы;59.76764297;30.94581985
030237;Войтоловка;59.71977997;30.95279884
030400;Павлово на Неве;59.79171371;30.88053322
030415;Геройская;59.80547333;30.85933495
030426;Островки;59.82870102;30.82424545
030434;20 км;59.84315872;30.77267075
030504;Манушкино;59.85409927;30.73327065
030523;Колтуши;59.86397171;30.67392349
030538;Мяглово;59.89724731;30.61130333
030542;16 км;59.86100388;30.70858002
030557;11 км;59.87969971;30.63775635
030561;7 км;59.91293335;30.58768272
030576;5 км;60.99104691;29.09818649
030608;Пелла;59.76900482;30.83286858
030612;Ивановская;59.76008606;30.77974129
030627;Усть-Тосненская;59.76836395;30.72026443
030701;Сапёрная;59.77281952;30.67828941
030716;Понтонная;60.69848633;29.91979218
030811;Ижоры;59.8080368;30.56246185
030909;Рыбацкое;59.83127213;30.50115585
031009;Обухово;59.84943771;30.45319176
031013;Фарфоровская;59.87915802;30.40756226
031032;Навалочная;59.90717316;30.37186813
031206;Ушаки;59.47885895;31.00763893
031225;Зареченская;59.5600853;30.90431976
031302;Тосно;59.54452896;30.88191414
031314;Тосно II;59.56173706;30.84911537
031329;пост 43 км;59.61129379;30.78687668
031333;Саблино;59.63528442;30.75711441
031348;Поповка;59.67915726;30.7021904
031371;36 км;59.33520889;32.68125916
031507;Шапки;59.59126663;31.16775131
031511;13 км;59.56718063;31.06399155
031526;Нурма;59.56354523;31.01852798
031600;Колпино;59.74979019;30.61450958
031615;Ижорский завод;59.76222992;30.57970428
031621;Металлострой;59.78859711;30.5386467
031634;Славянка;59.80729675;30.51273537
031808;Санкт-Петербург-Товарный-Московский;59.89348602;30.39275551
031812;Санкт-Петербург-Главный;59.92693329;30.3631134
032105;Пустынька;59.66036987;30.84266281
032112;22 км;59.28079987;32.4928093
032139;Стекольный;59.58024979;30.6554985
032302;Новолисино;59.57577896;30.5457859
032317;40 км;59.59196854;30.52165222
032321;36 км;59.62440872;30.48676872
032336;Владимирская;59.5737915;30.367033
032355;Кобралово;59.58842468;30.38982391
032365;34 км;59.63740158;30.46978951
032406;Антропшино;59.64088821;30.42685127
032508;Павловск;59.6935463;30.43277168
032707;Царское Село;59.72303772;30.42967987
032711;Детскосельская;59.74073029;30.420784
032995;Паровозный музей;59.78765488;30.39747047
033004;Шушары;59.80579758;30.3884697
033023;Купчино;59.82975769;30.37626457
033038;проспект Славы;59.85174179;30.36557198
033042;Воздухоплавательный парк;59.89077377;30.34568787
033057;Боровая;59.90578842;30.33838844
033061;Санкт-Петербург - Витебский;59.91881561;30.33071518
033108;Купчинская;59.82576752;30.41955376
033409;Волковская;59.89546585;30.36120415
